tanggal,pm_duakomalima
2022-02-19,108.0
2022-02-20,115.0
2022-02-21,86.0
2022-02-22,92.0
2022-02-23,87.0
2022-02-24,71.0
2022-02-25,59.0
2022-02-26,60.0
2022-02-27,51.0
2022-02-28,50.0
2022-03-01,50.0
2022-03-02,51.0
2022-03-03,55.0
2022-03-04,53.0
2022-03-05,68.0
2022-03-06,90.0
2022-03-07,53.0
2022-03-08,102.0
2022-03-09,75.0
2022-03-10,112.0
2022-03-11,107.0
2022-03-12,59.0
2022-03-13,65.0
2022-03-14,109.0
2022-03-15,97.0
2022-03-16,76.0
2022-03-17,141.0
2022-03-18,111.0
2022-03-19,73.0
2022-03-20,71.0
2022-03-21,53.0
2022-03-22,63.0
2022-03-23,61.0
2022-03-24,65.0
2022-03-25,122.0
2022-03-26,92.0
2022-03-27,126.0
2022-03-28,62.0
2022-03-29,117.0
2022-03-30,119.0
2022-03-31,160.0
2022-04-01,114.0
2022-04-02,99.0
2022-04-03,74.0
2022-04-04,71.0
2022-04-05,92.0
2022-04-06,87.0
2022-04-07,90.0
2022-04-08,81.0
2022-04-09,76.0
2022-04-10,164.0
2022-04-11,98.0
2022-04-12,107.0
2022-04-13,116.0
2022-04-14,104.0
2022-04-15,102.0
2022-04-16,119.0
2022-04-17,148.0
2022-04-18,135.0
2022-04-19,78.0
2022-04-20,105.0
2022-04-21,56.0
2022-04-22,128.0
2022-04-23,108.0
2022-04-24,114.0
2022-04-25,118.0
2022-04-26,82.0
2022-04-27,91.0
2022-04-28,83.0
2022-04-29,60.0
2022-04-30,53.0
2022-05-01,126.0
2022-05-02,90.0
2022-05-03,58.0
2022-05-04,85.0
2022-05-05,102.0
2022-05-06,73.0
2022-05-07,92.0
2022-05-08,98.0
2022-05-09,95.0
2022-05-10,86.0
2022-05-11,75.0
2022-05-12,85.0
2022-05-13,55.0
2022-05-14,101.0
2022-05-15,126.0
2022-05-16,100.0
2022-05-17,128.0
2022-05-18,99.0
2022-05-19,136.0
2022-05-20,128.0
2022-05-21,82.0
2022-05-22,110.0
2022-05-23,123.0
2022-05-24,98.0
2022-05-25,121.0
2022-05-26,93.0
2022-05-27,146.0
2022-05-28,105.0
2022-05-29,107.0
2022-05-30,89.0
2022-05-31,100.0
2022-06-01,77.0
2022-06-02,100.0
2022-06-03,68.0
2022-06-04,136.0
2022-06-05,116.0
2022-06-06,111.0
2022-06-07,76.0
2022-06-08,110.0
2022-06-09,97.0
2022-06-10,82.0
2022-06-11,92.0
2022-06-12,112.0
2022-06-13,97.0
2022-06-14,112.0
2022-06-15,141.0
2022-06-16,146.0
2022-06-17,130.0
2022-06-18,117.0
2022-06-19,118.0
2022-06-20,131.0
2022-06-21,114.0
2022-06-22,123.0
2022-06-23,119.0
2022-06-24,123.0
2022-06-25,131.0
2022-06-26,106.0
2022-06-27,102.0
2022-06-28,82.0
2022-06-29,79.0
2022-06-30,117.0
2022-07-01,111.0
2022-07-02,137.0
2022-07-03,126.0
2022-07-04,78.0
2022-07-05,110.0
2022-07-06,129.0
2022-07-07,135.0
2022-07-08,80.0
2022-07-09,93.0
2022-07-10,93.0
2022-07-11,112.0
2022-07-12,123.0
2022-07-13,114.0
2022-07-14,125.0
2022-07-15,86.0
2022-07-16,59.0
2022-07-17,89.0
2022-07-18,143.0
2022-07-19,114.0
2022-07-20,124.0
2022-07-21,110.0
2022-07-22,121.0
2022-07-23,99.0
2022-07-24,82.0
2022-07-25,87.0
2022-07-26,110.0
2022-07-27,116.0
2022-07-28,132.0
2022-07-29,123.0
2022-07-30,118.0
2022-07-31,143.0
2022-08-01,109.0
2022-08-02,113.0
2022-08-03,141.0
2022-08-04,99.0
2022-08-05,82.0
2022-08-06,101.0
2022-08-07,119.0
2022-08-08,84.0
2022-08-09,88.0
2022-08-10,116.0
2022-08-11,107.0
2022-08-12,94.0
2022-08-13,77.0
2022-08-14,93.0
2022-08-15,84.0
2022-08-16,89.0
2022-08-17,78.0
2022-08-18,89.0
2022-08-19,105.0
2022-08-20,117.0
2022-08-21,101.0
2022-08-22,78.0
2022-08-23,116.0
2022-08-24,119.0
2022-08-25,98.0
2022-08-26,119.0
2022-08-27,130.0
2022-08-28,85.0
2022-08-29,82.0
2022-08-30,84.0
2022-08-31,148.0
2022-09-01,130.0
2022-09-02,108.0
2022-09-03,102.0
2022-09-04,76.0
2022-09-05,105.0
2022-09-06,86.0
2022-09-07,79.0
2022-09-08,87.0
2022-09-09,91.0
2022-09-10,72.0
2022-09-11,88.0
2022-09-12,79.0
2022-09-13,81.0
2022-09-14,113.0
2022-09-15,117.0
